Date,Open,High,Low,Close,Volume,Adj Close
2009-07-30,70.30,71.52,69.91,70.72,37842300,69.43
2009-07-29,71.07,71.58,70.30,71.43,24100600,70.13
2009-07-28,71.88,72.50,71.11,71.89,23044500,70.58
2009-07-27,72.41,72.79,71.75,72.75,17360300,71.42
2009-07-24,71.36,72.38,71.26,72.29,18187900,70.97
2009-07-23,69.82,71.74,69.73,71.61,27122600,70.30
2009-07-22,69.88,70.72,69.52,69.99,24773800,68.71
2009-07-21,69.42,70.51,69.33,70.47,25945600,69.19
2009-07-20,69.11,69.38,68.13,68.94,21275900,67.68
2009-07-17,68.30,68.75,67.85,68.52,25791100,67.27
2009-07-16,68.20,68.80,67.48,68.46,23543600,67.21
2009-07-15,67.20,68.51,66.89,68.44,29656700,67.19
2009-07-14,66.20,66.35,65.46,66.22,22878800,65.01
2009-07-13,65.17,65.73,64.46,65.70,31656600,64.50
2009-07-10,65.10,65.40,64.75,65.12,25921000,63.93
2009-07-09,66.80,66.97,65.71,65.97,22770900,64.77
2009-07-08,66.56,67.13,65.50,66.26,30050500,65.05
2009-07-07,67.61,67.81,66.37,66.56,25054300,65.35
2009-07-06,67.67,68.15,66.36,68.10,29776400,66.86
2009-07-02,69.57,69.72,68.00,68.49,22946200,67.24
2009-07-01,70.67,71.51,70.41,70.56,22548700,69.27
2009-06-30,70.60,70.97,69.11,69.91,27339800,68.64
2009-06-29,69.45,70.78,69.13,70.58,24357700,69.29
2009-06-26,69.67,69.79,68.86,69.05,27662000,67.79
2009-06-25,68.31,70.03,68.08,69.88,30901300,68.61
2009-06-24,69.30,69.62,68.18,68.45,20861400,67.20
2009-06-23,69.28,69.64,68.51,68.95,24146400,67.69
2009-06-22,70.10,70.17,68.69,68.84,28398500,67.59
2009-06-19,71.85,72.00,70.42,71.05,42763000,69.75
2009-06-18,71.23,72.09,71.16,71.44,20734300,70.14
2009-06-17,71.06,71.78,70.84,71.42,29926300,70.12
2009-06-16,73.34,73.43,71.58,71.63,24218800,70.32
2009-06-15,72.64,72.96,72.25,72.81,27871600,71.48
2009-06-12,73.43,74.16,73.10,73.78,21693200,72.44
2009-06-11,74.00,74.83,73.12,74.05,30857000,72.70
2009-06-10,73.97,74.12,72.84,73.84,27360200,72.49
2009-06-09,73.56,73.82,72.37,73.12,21944500,71.79
2009-06-08,72.48,73.69,72.00,73.17,23300300,71.84
2009-06-05,73.25,73.50,72.03,72.97,26481100,71.64
2009-06-04,72.67,73.05,72.07,72.98,25934100,71.65
2009-06-03,72.39,72.45,71.33,72.08,29755400,70.77
2009-06-02,71.44,73.21,71.44,72.92,28676700,71.59
2009-06-01,70.46,72.04,70.25,71.76,31804200,70.45
